player_id,hand,dob,ioc,height,wikidata_id,name
100278,R,19520611.0,GER,,Q3082618,Frank Gebert
100279,R,19520617.0,USA,183.0,Q6846222,Mike Cahill
100280,R,19520803.0,POL,183.0,Q505565,Wojtek Fibak
100281,R,19520809.0,IND,180.0,Q7425124,Sashi Menon
100282,L,19520817.0,ARG,180.0,Q201515,Guillermo Vilas
100283,R,19520819.0,RSA,,,Andre Zietsmann
100284,L,19520902.0,USA,178.0,Q53393,Jimmy Connors
100285,R,19520908.0,AUS,185.0,Q3438080,Rod Frawley
100286,R,19520917.0,USA,168.0,Q1585949,Harold Solomon
100287,R,19520918.0,GBR,,Q3437059,Robin Drysdale
100288,R,19520921.0,SWE,,Q18085229,Tenny Svensson
100289,R,19521029.0,RSA,,Q1565274,Byron Bertram
100290,R,19521031.0,USA,,,Timothy Noonan
100291,R,19521116.0,USA,,,Ian Harris
100292,R,19521204.0,CHI,178.0,Q3576981,Alvaro Fillol
100293,R,19521209.0,AUS,,Q3181997,John Marks
100294,R,19521230.0,CAN,175.0,Q7386114,Rejean Genois
100295,R,19530119.0,CAN,,Q3430975,Richard Legendre
100296,R,19530207.0,NZL,,,Chris Gunning
100297,R,19530219.0,ITA,178.0,Q2713814,Corrado Barazzutti
100298,L,19530219.0,USA,,Q5540227,George Hardie
100299,R,19530225.0,USA,,,James Chico Hagey
100300,R,19530301.0,ESP,178.0,Q1348847,Jose Higueras
100301,R,19530312.0,USA,,Q6132533,Jim Delaney
100302,R,19530324.0,BRA,,,Joaquim Rasgado Jr
100303,R,19530327.0,USA,,Q22677495,Henry Bunis
100304,R,19530430.0,USA,,Q16268937,Bob Kreiss
100305,R,19530506.0,GBR,,Q3294072,Mark Farrell
100306,R,19530506.0,GBR,,,Mike Wayman
100307,R,19530518.0,FRA,180.0,Q13512879,Paul Torre
100308,R,19530615.0,RSA,180.0,Q7350479,Robert Trogolo
100309,R,19530620.0,MEX,183.0,Q972727,Raul Ramirez
100310,R,19530623.0,RSA,,Q13513068,Mike Myburg
100311,R,19530714.0,CHI,173.0,,Ulises Quezada
100312,R,19530814.0,IND,,,Chiraid Mukherjea
100313,R,19530818.0,USA,185.0,,Keith Richardson
100314,R,19531005.0,FRA,173.0,Q2897929,Bernard Fritz
100315,R,19531009.0,USA,193.0,Q1144091,Hank Pfister
100316,R,19531024.0,USA,,,Scott Carnahan
100317,R,19531025.0,GBR,,Q27680824,Stephen Warboys
100318,R,19531103.0,BRA,,Q106602825,Roger Guedes
100319,R,19531129.0,USA,180.0,Q7331375,Rick Fagel
100320,R,19531205.0,USA,,,Mark Meyers
100321,R,19531214.0,IND,193.0,Q468309,Vijay Amritraj
100322,R,19531218.0,MEX,,Q18159398,Emilio Montano
100323,R,19540125.0,BRA,183.0,Q5565585,Givaldo Barbosa
100324,R,19540204.0,USA,180.0,Q8172709,John Whitlinger
100325,R,19540207.0,GER,178.0,Q78176,Ulrich Pinner
100326,R,19540222.0,NZL,188.0,Q3784261,Russell Simpson
100327,L,19540225.0,RSA,,Q92294368,Willem Prinsloo
100328,R,19540301.0,USA,,,Rand Evett
100329,R,19540325.0,NED,,,Otto Panman
100330,R,19540410.0,NGR,,,David Imonitie
100331,R,19540507.0,FRA,,Q735512,Jean Louis Haillet
100332,R,19540509.0,HUN,183.0,Q370019,Balazs Taroczy
100333,R,19540523.0,JPN,,Q62513568,Shigeyuki Nishio
100334,R,19540605.0,AUS,,Q17365472,Ernie Ewert
100335,R,19540607.0,USA,,,David Parker
100336,L,19540608.0,ARG,,Q5616118,Guillermo Aubone
100337,R,19540624.0,AUS,185.0,Q506606,Mark Edmondson
100338,R,19540630.0,USA,175.0,,Benjy Robins
100339,L,19540702.0,USA,201.0,Q1748325,Victor Amaya
100340,R,19540706.0,USA,,,Sam Vuille
100341,R,19540721.0,USA,,Q107031471,Gonzalo Nunez
